person_id,age,annual_salary_chf,entry_date,employer,annual_contribution_chf
100045,21,74034.36,2017-12-18,AlpenTech AG,6201.41
100046,64,108190.82,2025-03-19,AlpenTech AG,6759.24
100047,39,84366.74,2025-10-22,Helvetia Services AG,5567.96
100048,60,86648.12,2025-10-13,Bodensee Logistics AG,8604.14
100049,50,110164.92,2023-02-07,Helvetia Services AG,13190.41
100050,55,75488.13,2015-06-20,Helvetia Services AG,4600.87
100051,54,65059.8,2019-01-11,Rhein Consulting GmbH,6080.16
100052,27,73925.84,2019-11-22,Helvetia Services AG,7766.69
100053,35,90142.01,2025-07-20,Säntis Industries AG,9880.15
100054,40,53816.34,2021-01-05,Rhein Consulting GmbH,4989.44
100055,41,93474.48,2020-11-22,AlpenTech AG,9085.25
100056,20,72302.12,2016-08-12,Helvetia Services AG,7360.61
100057,44,102660.63,2023-09-22,AlpenTech AG,11450.56
100058,25,38903.31,2018-09-12,Helvetia Services AG,2619.65
100059,53,67841.82,2016-01-04,Helvetia Services AG,7840.54
100060,50,51643.57,2025-11-09,AlpenTech AG,3179.23
100061,62,67127.87,2017-02-02,AlpenTech AG,7395.61
100062,53,86457.99,2015-03-07,Bodensee Logistics AG,5585.57
100063,35,78773.92,2015-11-09,Rhein Consulting GmbH,5646.33
100064,64,77439.2,2019-12-22,Helvetia Services AG,4664.45
100065,37,79134.67,2016-02-18,Säntis Industries AG,6862.19
100066,33,85660.99,2024-04-06,Helvetia Services AG,6858.15
100067,61,63846.35,2020-08-19,Säntis Industries AG,4466.66
100068,35,94723.29,2018-07-24,Helvetia Services AG,8247.12
100069,21,93927.99,2015-01-13,Bodensee Logistics AG,7903.31
100070,40,88930.68,2020-04-10,Rhein Consulting GmbH,9431.96
100071,56,92017.6,2016-08-30,AlpenTech AG,10452.08
100072,27,87335.52,2025-10-01,Säntis Industries AG,8659.67
100073,40,118631.32,2018-03-14,Helvetia Services AG,8003.42
100074,24,80432.3,2020-03-21,Bodensee Logistics AG,6251.48
100075,50,76472.5,2015-03-16,Rhein Consulting GmbH,8778.97
100076,40,68436.5,2016-06-09,Rhein Consulting GmbH,4470.55
100077,33,63419.27,2017-04-13,AlpenTech AG,5353.31
100078,28,59599.51,2015-07-27,Säntis Industries AG,6946.34
100079,45,66001.65,2022-12-24,Rhein Consulting GmbH,7724.83
100080,50,80727.75,2025-05-23,Säntis Industries AG,6835.4
100081,63,88017.31,2025-10-31,Bodensee Logistics AG,8805.59
100082,38,82920.56,2017-12-03,Rhein Consulting GmbH,7247.65
100083,25,68220.37,2023-09-02,Bodensee Logistics AG,7177.3
100084,57,98203.32,2020-07-16,Säntis Industries AG,6078.28
100085,48,95309.43,2015-07-04,Säntis Industries AG,6542.94
100086,51,79126.33,2015-12-31,Säntis Industries AG,7663.54
100087,22,70247.51,2021-01-08,Bodensee Logistics AG,5195.02
100088,32,,2019-08-28,Rhein Consulting GmbH,9183.78
100089,54,85383.52,2015-02-03,Helvetia Services AG,6922.33
100090,57,55933.71,2025-03-23,Bodensee Logistics AG,6331.63
100091,38,80776.36,2023-01-11,Rhein Consulting GmbH,8817.19
100092,56,86716.64,2020-07-10,AlpenTech AG,7767.23
100093,58,65805.49,2025-11-06,Rhein Consulting GmbH,6999.97
100094,36,85417.18,2025-09-04,AlpenTech AG,6514.62
100095,61,55813.2,2025-09-15,Bodensee Logistics AG,5003.97
100096,31,106051.35,2017-11-05,Bodensee Logistics AG,7619.68
100097,29,104463.1,2024-09-06,Bodensee Logistics AG,11663.64
100098,50,77454.69,2020-07-18,Bodensee Logistics AG,8472.31
100099,48,88542.18,2022-12-25,Bodensee Logistics AG,10105.23
100100,24,38621.4,2024-06-13,Bodensee Logistics AG,4350.65
100101,57,61185.74,2016-10-17,Bodensee Logistics AG,7193.96
100102,27,76711.98,2019-12-05,Bodensee Logistics AG,5653.69
100103,56,62701.61,2016-06-01,Rhein Consulting GmbH,7267.71
100104,18,94859.14,2018-01-27,Bodensee Logistics AG,8942.64
100105,56,117951.34,2019-07-19,Rhein Consulting GmbH,10067.11
100106,55,60820.94,2024-05-27,Säntis Industries AG,5694.2
100107,55,66925.66,2024-06-25,Säntis Industries AG,5391.27
100108,49,86238.07,2019-04-15,AlpenTech AG,6667.34
100109,40,111000.09,2018-08-14,Rhein Consulting GmbH,8267.16
100110,51,59997.26,2020-10-31,Helvetia Services AG,3896.56
100111,31,86482.65,2025-01-09,AlpenTech AG,7765.61
100112,55,114783.38,2025-09-25,Rhein Consulting GmbH,13001.02
100113,44,52268.34,2017-06-29,AlpenTech AG,5112.32
100114,40,58940.75,2017-01-18,Säntis Industries AG,5378.85
100115,42,74375.08,2022-10-08,Rhein Consulting GmbH,6375.1
100116,45,72629.41,2018-04-25,Säntis Industries AG,6381.52
100117,19,96626.82,2017-03-13,Rhein Consulting GmbH,7010.92
100118,24,86349.87,2015-05-05,Säntis Industries AG,9444.62
100119,29,50050.68,2019-06-07,AlpenTech AG,3598.79
100120,23,91277.39,2019-04-23,Säntis Industries AG,9401.33
100121,39,71604.3,2021-03-10,AlpenTech AG,7561.35
100122,50,104940.05,2017-03-14,Helvetia Services AG,9916.01
100123,49,70703.42,2022-11-08,AlpenTech AG,7902.92
100124,40,70540.92,2022-06-23,Bodensee Logistics AG,5464.31
100125,59,91740.37,2020-01-31,Rhein Consulting GmbH,10357.22
100126,45,95732.68,2016-12-29,Helvetia Services AG,9933.67
100127,21,90065.79,2020-07-28,Säntis Industries AG,9720.35
100128,54,51659.25,2022-06-02,Rhein Consulting GmbH,5159.46
100129,45,91684.62,2019-02-05,Rhein Consulting GmbH,10156.88
100130,48,63382.46,2017-11-23,Säntis Industries AG,7579.65
100131,45,86234.97,2020-07-26,Bodensee Logistics AG,7348.06
100132,44,56372.78,2018-11-27,Helvetia Services AG,6135.33
100133,22,90033.8,2019-05-28,Säntis Industries AG,9424.27
100134,44,67481.22,2018-11-01,Bodensee Logistics AG,5882.49
100135,56,58912.58,2018-05-03,Rhein Consulting GmbH,6811.29
100136,32,94848.76,2022-11-17,Helvetia Services AG,7935.57
100137,46,86349.6,2020-01-22,Helvetia Services AG,8110.64
100138,19,70948.42,2020-02-17,AlpenTech AG,4707.89
100139,34,108121.22,2022-03-07,Helvetia Services AG,7951.94
100140,38,74068.26,2018-12-21,AlpenTech AG,8180.23
100141,65,82577.94,2016-02-10,Rhein Consulting GmbH,6919.47
100142,28,86840.44,2024-05-16,AlpenTech AG,7263.77
100143,31,70846.01,2015-08-12,Rhein Consulting GmbH,5296.37
100144,37,90480.45,2021-04-15,Säntis Industries AG,8097.69
100145,65,72397.86,2017-12-03,Rhein Consulting GmbH,7844.24
100146,58,74590.51,2017-05-08,Bodensee Logistics AG,8481.68
100147,19,106527.57,2015-06-18,AlpenTech AG,6839.8
100148,29,63269.45,2024-11-22,Säntis Industries AG,5978.28
100149,57,38569.95,2019-09-20,AlpenTech AG,3395.56
100150,20,110996.87,2018-10-07,Rhein Consulting GmbH,10750.81
100151,59,127887.9,2023-02-24,Rhein Consulting GmbH,11105.34
100152,31,74705.15,2015-06-06,AlpenTech AG,6269.16
100153,62,47136.92,2021-03-16,Rhein Consulting GmbH,4162.8
100154,32,76411.29,2020-06-08,AlpenTech AG,7252.96
100155,38,76847.99,2021-01-31,Helvetia Services AG,6920.85
100156,49,78581.37,2016-05-12,Säntis Industries AG,6940.99
100157,24,61959.02,2025-06-21,Säntis Industries AG,6757.88
100158,44,92432.1,2017-08-15,Helvetia Services AG,9681.23
100159,42,91441.13,2022-06-16,Säntis Industries AG,7359.43
100160,55,55100.7,2023-03-19,Säntis Industries AG,5952.78
100161,65,94585.54,2018-10-13,Rhein Consulting GmbH,10519.71
100162,49,118948.33,2016-06-08,AlpenTech AG,8232.36
100163,37,85095.29,2018-04-06,Helvetia Services AG,8080.73
100164,37,75928.15,2023-11-14,Rhein Consulting GmbH,5855.48
100165,38,79443.94,2024-12-18,Säntis Industries AG,8290.0
100166,57,93074.62,2025-04-19,Säntis Industries AG,6917.97
100167,33,50847.91,2017-06-27,Bodensee Logistics AG,5099.24
100168,26,84959.03,2021-09-01,Helvetia Services AG,6398.05
100169,34,74971.65,2016-08-29,Säntis Industries AG,6797.58
100170,19,115260.85,2022-10-23,Helvetia Services AG,13476.16
100171,23,78864.89,2019-07-28,Helvetia Services AG,6536.2
100172,22,112021.98,2022-11-05,Säntis Industries AG,12607.44
100173,55,62132.67,2022-07-13,Bodensee Logistics AG,7407.25
100174,52,92570.67,2025-11-30,Helvetia Services AG,10413.37
100175,51,87749.2,2020-05-15,AlpenTech AG,6138.23
100176,40,66357.15,2018-10-03,Bodensee Logistics AG,7244.84
100177,52,85193.13,2020-10-15,Säntis Industries AG,5275.92
100178,25,103825.34,2016-10-15,Bodensee Logistics AG,8679.6
100179,61,76171.75,2016-03-24,Rhein Consulting GmbH,8549.82
100180,42,51544.67,2020-09-15,Helvetia Services AG,5222.77
100181,63,81683.87,2024-01-28,Rhein Consulting GmbH,7512.01
100182,25,65756.38,2020-11-10,Rhein Consulting GmbH,5475.65
100183,41,75837.86,2023-08-06,Rhein Consulting GmbH,8246.44
100184,51,80531.42,2016-12-15,Rhein Consulting GmbH,8260.39
100185,41,51298.26,2019-12-10,Bodensee Logistics AG,4519.6
100186,39,52918.15,2021-09-27,Helvetia Services AG,6008.81
100187,25,90677.2,2018-10-27,Rhein Consulting GmbH,6691.69
100188,36,72591.06,2015-02-26,Säntis Industries AG,5097.6
100189,29,35834.6,2015-10-22,Säntis Industries AG,3532.15
100190,32,96127.19,2025-03-13,Helvetia Services AG,11373.74
100191,50,86902.66,2021-08-26,Rhein Consulting GmbH,6503.39
100192,48,69150.25,2017-11-28,AlpenTech AG,5184.9
100193,47,58297.06,2017-11-05,Bodensee Logistics AG,3985.77
100194,35,97044.54,2015-06-08,Bodensee Logistics AG,10833.45
100195,64,88288.31,2025-05-21,Helvetia Services AG,6496.59
100196,22,124886.84,2016-03-10,Säntis Industries AG,11263.63
100197,34,89563.39,2023-05-08,Säntis Industries AG,10698.56
100198,23,88978.66,2017-08-22,AlpenTech AG,5403.54
100199,34,78995.3,2018-09-09,Helvetia Services AG,7377.31
100200,64,96701.97,2018-01-04,Helvetia Services AG,8774.48
100201,35,93251.53,2024-01-24,Säntis Industries AG,10112.83
100202,61,104531.05,2015-05-12,Bodensee Logistics AG,8500.14
100203,41,72616.19,2018-11-15,Rhein Consulting GmbH,6144.82
100204,51,74162.67,2018-01-26,Säntis Industries AG,5197.04
100205,39,73376.14,2017-12-31,Rhein Consulting GmbH,7664.06
100206,30,96234.43,2017-02-13,AlpenTech AG,10305.03
100207,54,108970.74,2025-01-11,AlpenTech AG,7431.78
100208,64,73740.87,2019-03-01,Helvetia Services AG,6165.28
100209,30,74354.07,2019-08-07,Helvetia Services AG,8444.71
100210,55,87653.39,2019-03-27,Rhein Consulting GmbH,5273.44
100211,30,77576.29,2025-10-10,AlpenTech AG,6045.17
100212,52,99136.97,2018-09-23,Helvetia Services AG,9249.73
100213,55,41468.01,2018-10-03,Helvetia Services AG,3319.33
100214,39,67119.31,2018-08-09,AlpenTech AG,5122.73
100215,53,67916.51,2018-08-05,AlpenTech AG,5949.64
100216,31,40233.59,2015-12-27,AlpenTech AG,2852.21
100217,21,64654.51,2021-08-23,Bodensee Logistics AG,5933.83
100218,22,65527.19,2015-04-12,Bodensee Logistics AG,6710.1
100219,39,78380.12,2017-06-26,Bodensee Logistics AG,7408.31
100220,61,102033.39,2017-03-22,Bodensee Logistics AG,6692.02
100221,24,77588.91,2018-03-16,Rhein Consulting GmbH,8586.34
100222,39,63445.35,2023-04-26,Säntis Industries AG,4472.81
100223,51,80974.82,2021-08-03,Bodensee Logistics AG,8574.32
100224,27,100885.13,2025-11-22,Rhein Consulting GmbH,8235.65
100225,52,64432.74,2018-11-11,Rhein Consulting GmbH,6892.09
100226,32,65609.65,2025-03-17,Rhein Consulting GmbH,4748.59
100227,56,92053.88,2015-06-30,AlpenTech AG,6554.21
100228,45,78012.35,2020-07-17,Säntis Industries AG,7007.19
100229,44,93654.72,2023-10-13,AlpenTech AG,5804.36
100230,26,81754.36,2020-11-05,Bodensee Logistics AG,6010.4
100231,40,94629.95,2025-04-05,Rhein Consulting GmbH,9788.59
100232,59,63368.59,2018-06-17,Bodensee Logistics AG,6985.94
100233,18,81782.48,2015-05-14,Helvetia Services AG,5303.36
100234,54,78207.58,2023-07-05,Säntis Industries AG,8831.56
100235,41,60113.96,2015-10-01,AlpenTech AG,6483.35
100236,52,53857.4,2023-05-29,Helvetia Services AG,6041.78
100237,49,94343.48,2023-01-23,Säntis Industries AG,9614.14
100238,38,75682.86,2024-04-12,Rhein Consulting GmbH,7602.28
100239,32,63598.95,2020-04-06,AlpenTech AG,5819.66
100240,48,80268.78,2024-11-04,Rhein Consulting GmbH,7960.03
100241,24,102304.34,2016-11-12,Säntis Industries AG,11779.99
100242,46,40946.72,2019-10-10,AlpenTech AG,2703.77
100243,22,55060.5,2016-05-04,Bodensee Logistics AG,4346.8
100244,49,65388.04,2023-06-07,Bodensee Logistics AG,4207.54
100245,48,108301.22,2022-11-07,AlpenTech AG,12637.49
100246,22,87086.57,2023-11-12,Helvetia Services AG,7551.79
100247,54,95811.71,2023-05-27,AlpenTech AG,9631.06
100248,37,61477.1,2018-05-23,AlpenTech AG,6791.2
100249,55,61848.35,2015-10-01,Bodensee Logistics AG,7388.4
100250,19,90060.65,2025-03-19,Bodensee Logistics AG,6277.85
100251,26,83048.94,2020-06-01,Helvetia Services AG,8966.86
100252,41,91877.3,2016-01-14,Helvetia Services AG,10404.68
100253,27,78621.92,2025-03-11,AlpenTech AG,4947.88
100254,33,87006.59,2025-12-05,Rhein Consulting GmbH,9157.05
100255,49,84846.14,2019-11-24,Helvetia Services AG,6896.59
100256,24,95999.81,2023-06-19,Säntis Industries AG,9495.9
100257,50,96526.15,2015-05-26,Bodensee Logistics AG,8768.71
100258,22,52842.3,2016-01-10,Säntis Industries AG,3994.06
100259,26,41549.17,2018-01-15,Rhein Consulting GmbH,2830.05
100260,46,100031.42,2022-03-19,Helvetia Services AG,6703.79
100261,56,103379.05,2016-06-19,Rhein Consulting GmbH,6843.63
100262,26,63628.79,2015-05-18,Helvetia Services AG,6252.64
100263,32,48522.96,2022-05-09,AlpenTech AG,3934.47
100264,62,83782.63,2023-06-20,Helvetia Services AG,6115.96
100265,65,98755.09,2023-02-15,Helvetia Services AG,10024.94
100266,45,114356.7,2023-10-14,AlpenTech AG,11574.15
100267,39,91293.36,2023-10-29,AlpenTech AG,8430.95
100268,34,75309.1,2021-08-15,Säntis Industries AG,8743.2
100269,47,65923.65,2020-09-16,Bodensee Logistics AG,5479.89
100270,46,82206.12,2024-06-02,Bodensee Logistics AG,9055.15
100271,32,76613.24,2018-10-29,Säntis Industries AG,4942.19
100272,19,63728.78,2016-01-29,Helvetia Services AG,6652.64
100273,25,118877.6,2023-04-08,Bodensee Logistics AG,14182.91
100274,64,114133.03,2018-01-12,Säntis Industries AG,12645.47
100275,38,102448.88,2025-10-05,Rhein Consulting GmbH,9710.09
100276,41,65424.69,2019-07-21,Helvetia Services AG,6385.84
100277,40,97390.35,2024-05-12,Helvetia Services AG,7907.84
100278,55,93513.28,2015-06-20,AlpenTech AG,9423.25
100279,21,89965.82,2022-03-31,AlpenTech AG,9556.5
100280,21,104493.97,2019-12-05,AlpenTech AG,12528.17
100281,31,93436.68,2020-02-01,Rhein Consulting GmbH,8367.05
100282,41,95320.26,2017-11-30,Rhein Consulting GmbH,6069.83
100283,50,93464.31,2025-09-04,Bodensee Logistics AG,8949.35
100284,41,88134.25,2019-04-26,Rhein Consulting GmbH,5917.46
100285,39,49895.0,2024-05-07,AlpenTech AG,3726.45
100286,63,83505.18,2019-09-03,Helvetia Services AG,6657.6
100287,25,71988.54,2015-07-13,Helvetia Services AG,7476.86
100288,45,58962.86,2024-08-31,Säntis Industries AG,4188.04
100289,44,112272.7,2017-01-13,Rhein Consulting GmbH,7852.93
100290,40,113121.92,2017-12-21,Säntis Industries AG,7092.5
100291,56,106465.97,2024-06-19,Helvetia Services AG,11966.18
100292,30,86593.84,2024-10-28,Säntis Industries AG,8798.83
100293,63,106311.25,2025-01-28,AlpenTech AG,6633.48
100294,33,82216.96,2019-09-07,Helvetia Services AG,5072.58
100295,44,85650.35,2023-04-28,Bodensee Logistics AG,8010.06
100296,42,62317.52,2018-08-09,AlpenTech AG,4795.46
100297,58,89145.84,2023-02-20,Säntis Industries AG,8540.49
100298,39,83086.95,2020-07-10,Säntis Industries AG,7151.81
100299,31,58552.26,2015-07-28,Bodensee Logistics AG,6756.86
100300,19,81078.45,2019-08-05,Helvetia Services AG,6264.81
100301,-4,80564.87,2020-02-21,AlpenTech AG,8116.81
100302,57,114356.1,2017-10-30,Rhein Consulting GmbH,7232.25
100303,18,98095.84,2019-02-12,Bodensee Logistics AG,11511.71
100304,61,82206.02,2020-07-11,Rhein Consulting GmbH,9769.81
100305,44,86478.17,2015-07-19,Rhein Consulting GmbH,9023.52
100306,24,82795.82,2016-09-01,AlpenTech AG,7278.81
100307,32,78347.55,2023-06-06,AlpenTech AG,5735.01
100308,44,62516.31,2018-11-13,Rhein Consulting GmbH,6798.71
100309,33,79281.07,2021-09-08,AlpenTech AG,8259.6
100310,23,68570.23,2021-03-21,Säntis Industries AG,5027.38
100311,49,59494.32,2021-01-22,AlpenTech AG,5180.34
100312,50,91201.99,2019-07-18,Rhein Consulting GmbH,8004.61
100313,23,89042.76,2020-04-24,Säntis Industries AG,9757.72
100314,31,49839.26,2024-01-22,Bodensee Logistics AG,5035.29
100315,29,79791.68,2025-08-10,AlpenTech AG,7866.67
100316,49,99922.62,2017-10-27,Säntis Industries AG,9891.3
100317,53,101066.03,2022-05-11,AlpenTech AG,7704.08
100318,52,100465.06,2025-08-29,Bodensee Logistics AG,8268.54
100319,63,82700.44,2015-01-31,Säntis Industries AG,5188.6
100320,54,66789.18,2023-08-17,Rhein Consulting GmbH,7160.9
100321,33,62493.42,2020-06-17,AlpenTech AG,5373.18
100322,23,88202.89,2025-08-20,Säntis Industries AG,7611.41
100323,47,88827.04,2021-05-10,AlpenTech AG,6637.28
100324,61,105171.96,2024-03-19,Rhein Consulting GmbH,7631.87
100325,64,101799.63,2016-10-28,Rhein Consulting GmbH,9698.38
100326,29,79619.88,2016-07-24,Helvetia Services AG,5888.14
100327,29,59604.29,2025-03-09,Bodensee Logistics AG,3805.88
100328,19,76256.08,2020-10-14,AlpenTech AG,8086.99
100329,24,85910.16,2021-02-19,Säntis Industries AG,7095.16
100330,44,78362.5,2016-11-13,Helvetia Services AG,6489.52
100331,44,71597.91,2017-06-29,Helvetia Services AG,6148.76
100332,35,86551.93,2023-12-30,Bodensee Logistics AG,9425.74
100333,32,72928.76,2018-05-02,Rhein Consulting GmbH,5779.62
100334,57,70694.81,2021-06-03,Bodensee Logistics AG,7457.04
100335,40,87606.15,2018-06-24,Bodensee Logistics AG,10194.96
100336,56,74764.13,2017-11-23,Bodensee Logistics AG,7450.4
100337,64,86393.88,2016-10-28,Säntis Industries AG,7421.31
100338,33,86917.67,2025-03-21,Helvetia Services AG,9114.83
100339,27,61490.28,2025-05-02,Säntis Industries AG,5378.79
100340,63,73337.66,2016-04-07,Rhein Consulting GmbH,6223.85
100341,48,107879.98,2018-11-19,Säntis Industries AG,9872.85
100342,31,61082.57,2021-03-13,Säntis Industries AG,4829.39
100343,47,43900.22,2019-03-19,Rhein Consulting GmbH,2908.61
100344,42,48486.79,2022-12-04,Helvetia Services AG,4116.1
100345,61,82523.98,2017-11-10,Rhein Consulting GmbH,5564.71
100346,30,82556.51,2015-08-25,Rhein Consulting GmbH,6986.47
100347,65,79883.0,2018-09-14,Helvetia Services AG,7462.35
100348,62,103855.42,2021-07-28,Rhein Consulting GmbH,12030.89
100349,26,33888.98,2016-12-26,Helvetia Services AG,2106.99
100350,25,89126.81,2023-12-20,Bodensee Logistics AG,8670.92
100351,43,110105.89,2015-02-19,Rhein Consulting GmbH,9630.31
100352,20,61699.95,2015-09-29,AlpenTech AG,3777.0
100353,32,75163.48,2020-08-04,Helvetia Services AG,5635.22
100354,38,68447.95,2020-08-18,Rhein Consulting GmbH,4593.48
100355,64,65901.77,2018-03-29,Bodensee Logistics AG,4811.33
100356,65,76127.28,2017-11-04,Säntis Industries AG,5821.77
100357,25,107694.74,2015-10-08,AlpenTech AG,9054.8
100358,60,115072.96,2022-04-15,Rhein Consulting GmbH,10557.07
100359,22,75953.09,2019-03-02,Säntis Industries AG,4561.7
100360,53,116291.08,2016-04-21,Säntis Industries AG,8106.9
100361,58,82640.38,2019-05-25,AlpenTech AG,5422.36
100362,60,113566.44,2025-04-20,Säntis Industries AG,10559.45
100363,28,80320.62,2017-11-14,Helvetia Services AG,6405.13
100364,60,84359.04,2024-11-01,Helvetia Services AG,7837.28
100365,23,88578.54,2017-11-04,Helvetia Services AG,6493.64
100366,42,139219.37,2017-01-16,Rhein Consulting GmbH,8555.55
100367,40,97323.14,2017-11-12,Rhein Consulting GmbH,11336.4
100368,33,69269.24,2018-07-21,Bodensee Logistics AG,4606.3
100369,19,99441.96,2016-04-29,AlpenTech AG,6723.42
100370,55,75487.01,2021-06-17,Säntis Industries AG,5192.96
100371,34,73184.5,2018-08-31,Helvetia Services AG,8699.92
100372,49,98354.82,2022-11-23,AlpenTech AG,9546.28
100373,37,82559.54,2020-05-25,Bodensee Logistics AG,7976.69
100374,35,87014.37,2019-11-13,Bodensee Logistics AG,10372.28
100375,60,82251.73,2020-03-06,Rhein Consulting GmbH,5371.56
100376,22,88058.5,2016-09-19,Säntis Industries AG,10432.3
100377,53,89649.39,2022-11-02,AlpenTech AG,6476.34
100378,53,47134.6,2016-02-23,Helvetia Services AG,4590.17
100379,36,93998.31,2022-12-06,Bodensee Logistics AG,8009.13
100380,30,64323.65,2025-12-28,Rhein Consulting GmbH,5341.25
100381,18,56038.62,2023-05-26,Rhein Consulting GmbH,6493.45
100382,62,80948.6,2020-01-03,Helvetia Services AG,5581.7
100383,63,83511.66,2018-06-16,Rhein Consulting GmbH,10006.71
100384,29,69516.89,2024-08-04,Säntis Industries AG,5752.35
100385,19,96958.57,2017-10-29,Bodensee Logistics AG,9591.77
100386,23,57840.85,2020-04-20,Säntis Industries AG,6829.52
100387,21,74675.01,2023-06-23,Rhein Consulting GmbH,4738.58
100388,57,71472.27,2025-02-20,Helvetia Services AG,8245.89
100389,60,81161.43,2025-02-14,Helvetia Services AG,7634.75
100390,25,87019.56,2015-12-19,Rhein Consulting GmbH,8898.95
100391,53,63857.93,2024-11-15,Helvetia Services AG,4403.07
100392,26,95037.09,2016-04-02,Helvetia Services AG,8743.72
100393,35,83134.04,2021-06-04,Helvetia Services AG,8347.56
100394,46,47944.97,2025-03-21,Rhein Consulting GmbH,4189.18
100395,52,46745.35,2022-03-14,Helvetia Services AG,3239.41
100396,59,81778.25,2025-06-01,Rhein Consulting GmbH,6104.51
100397,20,78022.59,2018-10-14,Säntis Industries AG,8681.07
100398,27,80138.44,2018-06-17,Säntis Industries AG,4974.05
100399,31,81496.32,2018-08-02,Säntis Industries AG,8355.96
100400,32,86060.08,2018-11-26,AlpenTech AG,10324.06
100401,65,99057.69,2022-07-04,Bodensee Logistics AG,5987.94
100402,55,62000.11,2019-12-22,Helvetia Services AG,4319.1
100403,33,60904.51,2023-02-08,Säntis Industries AG,6117.78
100404,64,62320.17,2019-07-29,Rhein Consulting GmbH,3963.53
100405,41,87200.5,2018-05-20,Helvetia Services AG,8317.83
100406,42,104409.05,2017-02-02,Bodensee Logistics AG,10549.49
100407,38,74235.89,2021-01-21,Rhein Consulting GmbH,7073.85
100408,24,36969.4,2024-11-15,Bodensee Logistics AG,3028.2
100409,62,51328.13,2024-06-10,Bodensee Logistics AG,5227.1
100410,18,67005.34,2017-10-14,AlpenTech AG,6409.57
100411,26,71960.88,2020-04-01,Bodensee Logistics AG,5214.16
100412,29,74649.0,2022-10-02,Helvetia Services AG,7001.19
100413,31,,2021-09-24,Säntis Industries AG,9337.4
100414,24,76388.57,2015-09-27,Säntis Industries AG,7639.62
100415,18,100888.11,2021-07-01,Rhein Consulting GmbH,8909.18
100416,50,69831.69,2015-06-05,AlpenTech AG,5537.31
100417,64,66478.28,2016-04-12,Säntis Industries AG,4331.27
100418,23,90619.76,2022-03-09,Helvetia Services AG,6767.27
100419,32,54358.44,2016-02-16,Bodensee Logistics AG,3297.99
100420,42,89014.45,2018-09-23,Säntis Industries AG,10610.3
100421,62,83845.96,2021-06-20,Säntis Industries AG,6150.01
100422,51,79346.04,2022-03-16,AlpenTech AG,8640.19
100423,54,110588.97,2019-11-25,Helvetia Services AG,7754.35
100424,45,70800.27,2016-01-13,Rhein Consulting GmbH,5452.76
